iter	Passed	Remaining
0	134	134601
1	135	67639
2	136	45340
3	137	34246
4	138	27575
5	139	23131
6	140	19872
7	141	17500
8	142	15643
9	143	14176
10	144	12996
11	146	12048
12	147	11184
13	148	10443
14	149	9800
15	150	9237
16	151	8736
17	152	8295
18	152	7898
19	153	7542
20	155	7244
21	156	6950
22	157	6673
23	158	6426
24	158	6200
25	159	5990
26	160	5797
27	161	5614
28	162	5443
29	163	5284
30	164	5138
31	165	5001
32	166	4875
33	167	4752
34	168	4640
35	169	4535
36	170	4436
37	171	4340
38	172	4239
39	172	4150
40	173	4060
41	174	3982
42	175	3906
43	176	3834
44	177	3764
45	178	3698
46	179	3635
47	180	3573
48	181	3514
49	182	3458
50	183	3406
51	184	3359
52	185	3313
53	186	3264
54	187	3218
55	188	3169
56	188	3125
57	190	3086
58	190	3045
59	191	3006
60	192	2968
61	193	2931
62	194	2898
63	195	2865
64	196	2832
65	197	2800
66	199	2773
67	200	2745
68	201	2717
69	202	2691
70	203	2663
71	204	2629
72	205	2607
73	205	2577
74	206	2551
75	207	2528
76	208	2500
77	209	2473
78	210	2450
79	211	2427
80	212	2406
81	213	2392
82	214	2375
83	216	2356
84	216	2335
85	217	2314
86	218	2294
87	219	2277
88	220	2260
89	222	2245
90	223	2228
91	224	2210
92	224	2192
93	225	2175
94	226	2159
95	227	2142
96	228	2129
97	229	2115
98	230	2100
99	231	2086
100	232	2069
101	233	2054
102	234	2044
103	235	2031
104	236	2018
105	237	2004
106	238	1991
107	239	1978
108	240	1962
109	241	1950
110	242	1940
111	244	1934
112	244	1922
113	245	1907
114	246	1897
115	247	1886
116	248	1876
117	249	1866
118	250	1855
119	251	1845
120	252	1834
121	253	1825
122	254	1811
123	255	1802
124	256	1793
125	257	1789
126	259	1782
127	260	1774
128	261	1763
129	262	1754
130	263	1745
131	264	1737
132	265	1729
133	266	1721
134	267	1712
135	268	1704
136	269	1695
137	270	1687
138	270	1676
139	271	1669
140	273	1668
141	274	1661
142	276	1654
143	277	1647
144	278	1639
145	278	1631
146	279	1623
147	281	1617
148	281	1607
149	282	1600
150	283	1594
151	284	1587
152	285	1581
153	286	1575
154	287	1568
155	289	1564
156	290	1558
157	291	1553
158	292	1547
159	293	1539
160	294	1533
161	295	1527
162	296	1522
163	297	1516
164	298	1511
165	299	1506
166	300	1501
167	302	1497
168	304	1495
169	305	1491
170	306	1487
171	307	1481
172	308	1473
173	309	1467
174	310	1463
175	311	1458
176	312	1453
177	313	1448
178	314	1443
179	315	1438
180	316	1432
181	318	1430
182	319	1427
183	320	1422
184	321	1418
185	322	1413
186	323	1408
187	325	1404
188	326	1401
189	327	1397
190	328	1393
191	330	1388
192	331	1384
193	333	1384
194	334	1381
195	335	1377
196	336	1373
197	338	1369
198	339	1365
199	340	1363
200	341	1359
201	343	1355
202	344	1351
203	345	1347
204	346	1343
205	347	1340
206	349	1337
207	350	1333
208	351	1329
209	352	1325
210	353	1322
211	354	1318
212	355	1314
213	356	1310
214	357	1306
215	358	1302
216	359	1298
217	360	1294
218	362	1291
219	363	1289
220	364	1285
221	365	1282
222	367	1279
223	368	1275
224	369	1272
225	370	1268
226	371	1264
227	372	1260
228	373	1257
229	374	1253
230	375	1250
231	376	1247
232	378	1245
233	379	1242
234	380	1239
235	381	1236
236	382	1232
237	383	1229
238	385	1226
239	386	1222
240	387	1219
241	388	1216
242	389	1212
243	390	1209
244	391	1206
245	392	1204
246	394	1201
247	395	1198
248	396	1195
249	397	1192
250	398	1189
251	400	1187
252	401	1184
253	402	1181
254	403	1178
255	404	1175
256	405	1173
257	407	1170
258	408	1168
259	409	1165
260	410	1162
261	411	1159
262	412	1157
263	414	1154
264	415	1151
265	416	1148
266	417	1145
267	418	1143
268	420	1141
269	421	1139
270	422	1137
271	424	1135
272	425	1132
273	426	1129
274	427	1127
275	428	1124
276	429	1121
277	430	1119
278	432	1116
279	433	1113
280	434	1111
281	435	1108
282	436	1105
283	437	1103
284	439	1101
285	440	1099
286	441	1096
287	442	1093
288	443	1091
289	444	1088
290	445	1086
291	447	1084
292	448	1081
293	449	1078
294	450	1076
295	451	1074
296	453	1073
297	454	1071
298	456	1069
299	457	1067
300	458	1064
301	459	1062
302	460	1059
303	461	1057
304	463	1055
305	464	1052
306	465	1050
307	466	1047
308	467	1045
309	469	1044
310	470	1041
311	471	1039
312	472	1036
313	473	1034
314	474	1031
315	475	1029
316	476	1027
317	477	1024
318	478	1022
319	480	1020
320	481	1018
321	482	1016
322	483	1014
323	485	1012
324	486	1010
325	487	1007
326	488	1005
327	489	1003
328	490	1001
329	492	998
330	493	996
331	494	994
332	495	992
333	496	990
334	498	988
335	499	987
336	500	984
337	501	982
338	502	980
339	503	977
340	504	975
341	505	973
342	506	971
343	508	969
344	509	967
345	510	964
346	511	962
347	513	961
348	514	959
349	515	957
350	516	955
351	517	952
352	518	950
353	519	948
354	520	946
355	522	944
356	523	942
357	524	940
358	525	937
359	526	936
360	528	934
361	529	932
362	530	930
363	531	928
364	532	926
365	533	924
366	535	922
367	536	921
368	537	919
369	538	917
370	540	915
371	541	913
372	542	911
373	543	909
374	544	907
375	545	905
376	547	903
377	548	902
378	549	900
379	550	898
380	552	896
381	553	895
382	554	893
383	555	891
384	557	890
385	558	888
386	559	886
387	561	885
388	562	883
389	563	881
390	564	879
391	565	877
392	566	875
393	567	873
394	568	871
395	570	869
396	571	867
397	572	865
398	573	864
399	574	862
400	576	860
401	577	858
402	578	856
403	579	855
404	580	853
405	581	851
406	582	849
407	584	847
408	585	845
409	586	843
410	587	841
411	588	840
412	589	838
413	591	836
414	592	834
415	593	832
416	594	830
417	595	828
418	596	827
419	597	825
420	598	823
421	599	821
422	600	819
423	602	818
424	603	816
425	604	814
426	605	813
427	607	811
428	608	809
429	609	807
430	610	806
431	611	804
432	612	802
433	614	800
434	615	799
435	617	799
436	619	798
437	620	796
438	621	794
439	622	792
440	624	791
441	625	789
442	626	787
443	628	786
444	629	784
445	630	783
446	633	784
447	635	782
448	636	781
449	637	779
450	639	777
451	640	776
452	641	774
453	642	772
454	643	770
455	644	769
456	645	767
457	648	767
458	649	765
459	650	764
460	652	762
461	653	760
462	654	759
463	655	757
464	657	755
465	658	754
466	659	752
467	660	750
468	663	751
469	664	749
470	665	747
471	666	745
472	668	744
473	669	743
474	671	741
475	672	740
476	673	738
477	674	736
478	675	734
479	676	733
480	679	732
481	680	731
482	681	729
483	682	727
484	683	726
485	685	724
486	686	723
487	687	721
488	689	720
489	690	718
490	691	716
491	692	714
492	693	713
493	694	711
494	696	710
495	697	708
496	698	707
497	699	705
498	700	703
499	702	702
500	703	700
501	704	699
502	705	697
503	709	698
504	711	696
505	712	695
506	713	693
507	714	692
508	715	690
509	717	688
510	718	687
511	719	685
512	720	684
513	724	684
514	725	683
515	727	682
516	728	680
517	730	680
518	732	678
519	733	676
520	734	675
521	735	673
522	739	674
523	740	672
524	742	671
525	743	669
526	744	668
527	746	667
528	747	665
529	748	663
530	749	662
531	750	660
532	753	659
533	756	659
534	757	658
535	758	656
536	759	654
537	761	653
538	762	651
539	763	650
540	765	649
541	769	649
542	770	648
543	772	647
544	774	646
545	775	644
546	776	642
547	777	641
548	778	639
549	782	640
550	784	639
551	786	638
552	787	636
553	788	635
554	790	633
555	791	631
556	792	630
557	794	629
558	795	627
559	798	627
560	800	626
561	801	624
562	802	622
563	803	621
564	804	619
565	807	618
566	808	617
567	809	615
568	811	614
569	814	614
570	815	613
571	817	611
572	818	610
573	820	608
574	821	607
575	822	605
576	823	603
577	826	603
578	828	602
579	829	600
580	830	599
581	832	597
582	833	595
583	834	594
584	835	592
585	836	591
586	838	589
587	839	588
588	840	586
589	842	585
590	844	584
591	845	582
592	846	581
593	847	579
594	849	577
595	850	576
596	851	574
597	852	573
598	854	571
599	855	570
600	857	569
601	858	567
602	859	566
603	860	564
604	861	562
605	863	561
606	864	559
607	865	558
608	866	556
609	868	554
610	869	553
611	870	551
612	872	550
613	874	549
614	875	548
615	877	546
616	878	545
617	879	543
618	881	542
619	882	540
620	883	539
621	884	537
622	886	536
623	888	535
624	889	533
625	890	532
626	891	530
627	893	529
628	894	527
629	896	526
630	897	524
631	898	523
632	899	521
633	901	520
634	902	518
635	903	517
636	905	515
637	906	514
638	907	512
639	908	511
640	910	509
641	911	508
642	912	506
643	913	505
644	914	503
645	916	502
646	917	500
647	919	499
648	920	497
649	921	496
650	922	494
651	924	493
652	925	491
653	926	490
654	927	488
655	928	486
656	929	485
657	931	483
658	932	482
659	933	481
660	934	479
661	935	477
662	937	476
663	938	474
664	939	473
665	940	471
666	941	470
667	942	468
668	943	467
669	945	465
670	946	464
671	947	462
672	949	461
673	950	459
674	951	458
675	952	456
676	953	455
677	954	453
678	956	452
679	957	450
680	958	449
681	959	447
682	960	445
683	962	444
684	963	443
685	964	441
686	966	440
687	967	438
688	968	437
689	969	435
690	970	434
691	971	432
692	972	430
693	974	429
694	975	427
695	976	426
696	977	424
697	978	423
698	980	422
699	981	420
700	982	419
701	983	417
702	984	415
703	985	414
704	986	412
705	987	411
706	989	409
707	990	408
708	992	407
709	993	405
710	994	404
711	995	402
712	997	401
713	998	399
714	999	398
715	1000	396
716	1001	395
717	1003	394
718	1004	392
719	1005	391
720	1007	389
721	1008	388
722	1009	386
723	1011	385
724	1012	383
725	1013	382
726	1015	381
727	1016	379
728	1018	378
729	1019	376
730	1020	375
731	1022	374
732	1023	372
733	1024	371
734	1026	370
735	1027	368
736	1028	367
737	1029	365
738	1031	364
739	1032	362
740	1033	361
741	1035	359
742	1036	358
743	1037	357
744	1039	355
745	1040	354
746	1041	352
747	1042	351
748	1044	349
749	1045	348
750	1046	346
751	1047	345
752	1049	344
753	1051	342
754	1052	341
755	1054	340
756	1055	338
757	1056	337
758	1058	336
759	1059	334
760	1061	333
761	1062	331
762	1064	330
763	1066	329
764	1068	328
765	1069	326
766	1070	325
767	1072	323
768	1073	322
769	1074	320
770	1075	319
771	1077	318
772	1078	316
773	1082	316
774	1084	314
775	1085	313
776	1087	312
777	1088	310
778	1089	309
779	1091	307
780	1092	306
781	1094	305
782	1096	304
783	1098	302
784	1100	301
785	1101	299
786	1102	298
787	1104	297
788	1105	295
789	1107	294
790	1108	292
791	1110	291
792	1112	290
793	1113	288
794	1115	287
795	1116	286
796	1118	284
797	1119	283
798	1121	282
799	1123	280
800	1126	279
801	1128	278
802	1129	277
803	1131	275
804	1134	274
805	1136	273
806	1137	272
807	1138	270
808	1140	269
809	1142	268
810	1144	266
811	1145	265
812	1146	263
813	1148	262
814	1149	260
815	1151	259
816	1152	258
817	1154	256
818	1156	255
819	1158	254
820	1159	252
821	1161	251
822	1162	250
823	1163	248
824	1165	247
825	1166	245
826	1168	244
827	1171	243
828	1173	242
829	1181	241
830	1182	240
831	1184	239
832	1186	237
833	1187	236
834	1189	235
835	1190	233
836	1192	232
837	1193	230
838	1195	229
839	1196	227
840	1197	226
841	1199	224
842	1200	223
843	1202	222
844	1203	220
845	1204	219
846	1206	217
847	1207	216
848	1208	215
849	1210	213
850	1211	212
851	1213	210
852	1216	209
853	1217	208
854	1219	206
855	1221	205
856	1222	203
857	1223	202
858	1224	201
859	1226	199
860	1227	198
861	1231	197
862	1233	195
863	1234	194
864	1236	193
865	1238	191
866	1239	190
867	1240	188
868	1241	187
869	1243	185
870	1244	184
871	1245	182
872	1267	184
873	1268	182
874	1269	181
875	1271	179
876	1272	178
877	1274	177
878	1275	175
879	1277	174
880	1278	172
881	1280	171
882	1281	169
883	1282	168
884	1284	166
885	1285	165
886	1286	163
887	1287	162
888	1289	160
889	1290	159
890	1292	158
891	1293	156
892	1294	155
893	1296	153
894	1297	152
895	1298	150
896	1299	149
897	1300	147
898	1302	146
899	1303	144
900	1304	143
901	1306	141
902	1308	140
903	1309	139
904	1311	137
905	1312	136
906	1313	134
907	1314	133
908	1315	131
909	1317	130
910	1318	128
911	1319	127
912	1320	125
913	1322	124
914	1324	123
915	1325	121
916	1326	120
917	1328	118
918	1329	117
919	1330	115
920	1331	114
921	1333	112
922	1334	111
923	1335	109
924	1336	108
925	1338	106
926	1339	105
927	1341	104
928	1342	102
929	1343	101
930	1344	99
931	1345	98
932	1346	96
933	1348	95
934	1349	93
935	1350	92
936	1352	90
937	1353	89
938	1354	88
939	1356	86
940	1357	85
941	1358	83
942	1360	82
943	1361	80
944	1362	79
945	1363	77
946	1365	76
947	1366	74
948	1367	73
949	1369	72
950	1370	70
951	1372	69
952	1373	67
953	1374	66
954	1376	64
955	1377	63
956	1378	61
957	1379	60
958	1381	59
959	1382	57
960	1383	56
961	1385	54
962	1386	53
963	1387	51
964	1388	50
965	1390	48
966	1391	47
967	1392	46
968	1393	44
969	1394	43
970	1396	41
971	1398	40
972	1399	38
973	1400	37
974	1401	35
975	1403	34
976	1404	33
977	1405	31
978	1406	30
979	1407	28
980	1409	27
981	1410	25
982	1411	24
983	1413	22
984	1414	21
985	1415	20
986	1417	18
987	1418	17
988	1419	15
989	1420	14
990	1422	12
991	1423	11
992	1424	10
993	1425	8
994	1427	7
995	1428	5
996	1429	4
997	1431	2
998	1432	1
999	1433	0
